Origin,Terminal Destination,Occurrences,,
CCS,AMS,8,,
GRU,BRU,8,,
SAL,JFK,8,,
SAL,HAV,8,,
BOG,TGU,8,,
BOG,GIG,8,,
BOG,COR,8,,
GRU,SJP,7,,
GRU,IMP,7,,
CCS,TAB,7,,
CCS,FCO,7,,
CCS,CLO,7,,
SAP,MEX,7,,
BOG,VLN,7,,
BOG,PTX,7,,
BOG,PIU,7,,
GRU,ORY,6,,
GRU,ATM,6,,
GRU,DTW,6,,
CCS,SAL,6,,
CCS,LFR,6,,
CCS,UIO,6,,
GRU,CCP,6,,
GRU,FEN,6,,
GRU,CLO,6,,
GRU,LAX,6,,
CCS,BON,6,,
CCS,SJO,6,,
GRU,CJC,6,,
GRU,OPO,6,,
SAL,SCL,6,,
SAL,CCS,6,,
SAL,MAD,6,,
SAP,JFK,6,,
BOG,SFO,6,,
BOG,BWI,6,,
BOG,MVD,6,,
BOG,AMS,6,,
BOG,CIX,6,,
GRU,HAV,5,,
GRU,LAS,5,,
GRU,MNL,5,,
GRU,MCP,5,,
GRU,OPS,5,,
GRU,SJO,5,,
CCS,DFW,5,,
CCS,GYE,5,,
GRU,MDZ,5,,
GRU,CRD,5,,
GRU,DEL,5,,
GRU,PMC,5,,
GRU,BOS,5,,
SAL,LIR,5,,
SAL,LCE,5,,
SAL,FRS,5,,
SAL,EZE,5,,
SAL,CLT,5,,
SAP,LCE,5,,
SAP,ATL,5,,
BOG,PMI,5,,
BOG,DTW,5,,
BOG,BRU,5,,
BOG,TPP,5,,
BOG,MID,5,,
BOG,LMC,5,,
GRU,PEK,4,,
GRU,MDE,4,,
GRU,IPN,4,,
GRU,SDQ,4,,
CCS,FRA,4,,
CCS,DUS,4,,
CCS,SLU,4,,
GRU,SFO,4,,
GRU,PDP,4,,
GRU,SLA,4,,
GRU,BVB,4,,
CCS,YYZ,4,,
CCS,GND,4,,
GRU,ZAL,4,,
GRU,BKK,4,,
CCS,PEI,4,,
GRU,BOM,4,,
GRU,MAN,4,,
GRU,PFB,4,,
CCS,MCO,4,,
GRU,PMV,4,,
GRU,MTY,4,,
GRU,UAQ,4,,
SAL,PAP,4,,
SAL,LGA,4,,
SAL,LHR,4,,
SAL,LAS,4,,
SAL,BWI,4,,
SAL,LPB,4,,
SAL,MSP,4,,
BOG,CPO,4,,
BOG,MUC,4,,
BOG,LPA,4,,
BOG,ESM,4,,
BOG,RTB,4,,
BOG,TRU,4,,
BOG,BRM,4,,
BOG,FCO,4,,
BOG,CLT,4,,
BOG,PHX,4,,
BOG,VGO,4,,
BOG,BJX,4,,
BOG,YUL,4,,
BOG,DEN,4,,
BOG,MEC,4,,
BOG,FOR,4,,
BOG,LGA,4,,
BOG,DOH,4,,
BOG,SJE,4,,
BOG,SSA,4,,
GRU,CAW,3,,
GRU,UBA,3,,
GRU,AUA,3,,
GRU,CUC,3,,
GRU,PHX,3,,
GRU,FTE,3,,
GRU,OSL,3,,
GRU,TPP,3,,
GRU,BUD,3,,
CCS,SXM,3,,
GRU,BEY,3,,
GRU,ZCO,3,,
GRU,SIN,3,,
GRU,POS,3,,
GRU,GUA,3,,
CCS,SVO,3,,
GRU,ARI,3,,
GRU,IQQ,3,,
GRU,LGA,3,,
GRU,BGI,3,,
GRU,ATH,3,,
CCS,CPH,3,,
GRU,KBP,3,,
GRU,PNZ,3,,
GRU,ANF,3,,
CCS,ORD,3,,
GRU,CPH,3,,
CCS,EWR,3,,
GRU,SID,3,,
GRU,TFF,3,,
CCS,LGA,3,,
CCS,KIN,3,,
GRU,STM,3,,
GRU,PHL,3,,
GRU,TJL,3,,
GRU,DCA,3,,
SAL,TUS,3,,
SAL,PHX,3,,
GRU,HKG,3,,
SAL,HND,3,,
GRU,GVA,3,,
SAL,FRA,3,,
SAL,MVD,3,,
GRU,BRC,3,,
GRU,NRT,3,,
SAL,ASU,3,,
GRU,IZA,3,,
SAL,PAC,3,,
BOG,ARI,3,,
BOG,CPH,3,,
BOG,NAS,3,,
BOG,SEA,3,,
BOG,SOM,3,,
BOG,HMO,3,,
BOG,MBJ,3,,
BOG,JAX,3,,
BOG,BSC,3,,
BOG,ROS,3,,
BOG,FLN,3,,
BOG,LOH,3,,
BOG,CUE,3,,
BOG,VER,3,,
BOG,LGW,3,,
BOG,PMC,3,,
BOG,CBB,3,,
BOG,ZLO,3,,
BOG,DAV,3,,
BOG,ICN,3,,
BOG,ORY,3,,
BOG,LSC,3,,
BOG,PAP,3,,
BOG,ASU,3,,
BOG,IQQ,3,,
BOG,DCA,3,,
GRU,CUR,2,,
GRU,MII,2,,
GRU,PMI,2,,
GRU,JED,2,,
GRU,BHI,2,,
GRU,SEA,2,,
GRU,LPA,2,,
GRU,RUH,2,,
GRU,USH,2,,
CCS,LIS,2,,
CCS,HOG,2,,
GRU,GVR,2,,
GRU,CCJ,2,,
CCS,BWI,2,,
GRU,BGA,2,,
GRU,GZT,2,,
CCS,OPO,2,,
GRU,TLV,2,,
CCS,BGI,2,,
CCS,ATL,2,,
CCS,DOH,2,,
CCS,BGA,2,,
CCS,MGA,2,,
GRU,DEN,2,,
CCS,BSB,2,,
GRU,LYS,2,,
GRU,MGA,2,,
CCS,LAX,2,,
GRU,CAI,2,,
CCS,DAV,2,,
GRU,AFL,2,,
GRU,ADB,2,,
CCS,ADZ,2,,
GRU,BZE,2,,
GRU,BRA,2,,
GRU,TRV,2,,
CCS,LET,2,,
GRU,CMH,2,,
CCS,MTY,2,,
CCS,MRS,2,,
GRU,SAL,2,,
CCS,GUA,2,,
GRU,TXL,2,,
CCS,MVD,2,,
GRU,LPB,2,,
GRU,IKA,2,,
GRU,TPA,2,,
CCS,IAD,2,,
CCS,VLV,2,,
CCS,BAQ,2,,
GRU,HAM,2,,
CCS,LHR,2,,
GRU,SXM,2,,
CCS,MTR,2,,
GRU,LSC,2,,
GRU,TUC,2,,
GRU,LGW,2,,
SAL,IQT,2,,
GRU,MAB,2,,
SAL,SEA,2,,
SAL,POS,2,,
SAL,PHL,2,,
GRU,NQN,2,,
SAL,POA,2,,
GRU,ROO,2,,
SAL,STL,2,,
SAL,CHS,2,,
SAL,OPO,2,,
SAL,PVG,2,,
SAL,VVI,2,,
SAL,MSY,2,,
SAL,YYC,2,,
GRU,PVG,2,,
SAL,GRU,2,,
SAL,GIG,2,,
GRU,NAS,2,,
SAL,ALB,2,,
GRU,SYD,2,,
SAL,MCO,2,,
SAL,DTW,2,,
GRU,MOC,2,,
GRU,MED,2,,
SAL,CUZ,2,,
GRU,OTP,2,,
SAL,TLV,2,,
SAL,BOS,2,,
GRU,MEA,2,,
SAL,BTR,2,,
SAL,SAT,2,,
GRU,AUS,2,,
GRU,RBR,2,,
