code,seats
MAH,3
MFE,3
OSL,3
PBC,3
PJM,3
PMO,3
PNS,3
REL,3
ROC,3
SDR,3
SEZ,3
SKT,3
SRE,3
SSH,3
TJA,3
TUS,3
TYR,3
TZX,3
UAQ,3
YAM,3
YMM,3
YQR,3
ZAG,3
ZCL,3
ZIH,3
AAL,2
ABJ,2
ABZ,2
ADA,2
AHB,2
ALA,2
ANC,2
BES,2
BFS,2
BHD,2
BHX,2
BMI,2
BNE,2
BOC,2
BUF,2
CAY,2
CFE,2
CJS,2
CPC,2
CRW,2
CTM,2
DAR,2
DNZ,2
DRS,2
DWC,2
ESB,2
EZS,2
FMA,2
FUE,2
GNV,2
GOT,2
GRJ,2
GRR,2
KIM,2
KIX,2
KOA,2
KRT,2
KTM,2
KTW,2
KYA,2
LMM,2
LOS,2
LUN,2
MAA,2
MDT,2
MLN,2
MLU,2
MPL,2
MSQ,2
MYR,2
NCL,2
NLD,2
OGG,2
ORF,2
PAZ,2
PBI,2
PEW,2
PLJ,2
PSS,2
PVD,2
PWM,2
QRO,2
RNO,2
ROO,2
SCU,2
SHV,2
SLL,2
SLP,2
SNC,2
SNN,2
SSG,2
STN,2
SVD,2
TAS,2
TBT,2
TER,2
TGI,2
TIA,2
TLL,2
TME,2
TMU,2
TNG,2
TSF,2
TTN,2
TXF,2
UII,2
USA,2
VCP,2
VLC,2
XQP,2
YTZ,2
YYT,2
ZLO,2
NOV,1
ACC,1
ACY,1
ADL,1
AEX,1
AFA,1
AHO,1
ALO,1
AMA,1
ASB,1
ASE,1
AVL,1
BGW,1
BHM,1
BIA,1
BIM,1
BLR,1
BOB,1
BPT,1
BQS,1
BRI,1
BTH,1
CAG,1
CCU,1
CEN,1
CFU,1
CGH,1
CGP,1
CGY,1
CHX,1
CIA,1
CID,1
CMI,1
CMW,1
COS,1
CRL,1
CRP,1
CVM,1
CYO,1
CZL,1
DIY,1
DKR,1
DMK,1
DPS,1
DRK,1
DSM,1
EAS,1
EBB,1
ECN,1
EIN,1
ELH,1
EVV,1
FAO,1
FAR,1
FAT,1
FNT,1
FOC,1
FSC,1
FUK,1
FWA,1
GBE,1
GCC,1
GDN,1
GGT,1
GJA,1
GOA,1
GRK,1
GRZ,1
GSO,1
HDS,1
HER,1
HGH,1
HOB,1
HOF,1
HRE,1
HTY,1
HUX,1
ILM,1
ISU,1
ITM,1
IXB,1
IXE,1
JAI,1
JBQ,1
JTR,1
JUJ,1
KGL,1
KHH,1
KIV,1
KUT,1
LBE,1
LBV,1
LCA,1
LEC,1
LEJ,1
LEX,1
LFT,1
LGB,1
LGQ,1
LIH,1
LJU,1
LPL,1
LRD,1
LRM,1
LVI,1
LWO,1
LYP,1
LZC,1
MAM,1
MEA,1
MHD,1
MHH,1
MHT,1
MIG,1
MLA,1
MLI,1
MMX,1
MOB,1
MPM,1
MQP,1
MUB,1
MUX,1
NBO,1
NEV,1
NGO,1
NKC,1
NKG,1
NLA,1
NOB,1
NRN,1
NSB,1
NUE,1
OGL,1
OLB,1
ONT,1
ORK,1
OVD,1
PBG,1
PDL,1
PDS,1
PGA,1
PLZ,1
POP,1
POZ,1
PSA,1
PSE,1
PSP,1
RBA,1
RDM,1
RHO,1
RIX,1
RNS,1
RTM,1
RUT,1
SAV,1
SFB,1
SGN,1
SHJ,1
SJJ,1
SJT,1
SKG,1
SOU,1
SPR,1
STS,1
STW,1
SUF,1
SUX,1
SVG,1
SWF,1
SZF,1
TAO,1
TFS,1
TLH,1
TMR,1
TNR,1
TRD,1
TRN,1
TSA,1
TSE,1
TUU,1
TYS,1
UEL,1
UFA,1
UVF,1
VNO,1
VQS,1
VRA,1
VRN,1
XNA,1
YHM,1
YQM,1
YXE,1
YXU,1
YYG,1
