code,seats
BGO,3
BHM,3
BLR,3
CEN,3
CVM,3
DAR,3
DMM,3
DUR,3
EAS,3
EBL,3
ESB,3
EYW,3
FIH,3
GOA,3
GRR,3
GRX,3
GSP,3
GYD,3
GZT,3
HAN,3
ISB,3
KBL,3
KRT,3
LCY,3
LEI,3
LFT,3
MAF,3
MCT,3
MDQ,3
MDT,3
MII,3
MKE,3
MLM,3
NQN,3
NUE,3
OGG,3
PIN,3
PLS,3
PSS,3
QRO,3
RAK,3
RIC,3
RNO,3
SLP,3
SPC,3
SVX,3
SYQ,3
SYZ,3
TPQ,3
TSE,3
TZA,3
TZX,3
YXE,3
YYT,3
ZIH,3
ABJ,2
AGA,2
ALA,2
ASE,2
AUX,2
BGW,2
BHI,2
BTV,2
BUQ,2
CCU,2
CRL,2
CRP,2
DAY,2
DSM,2
ECN,2
ETR,2
EUG,2
EVN,2
FMA,2
FON,2
GAO,2
GDN,2
GER,2
GGT,2
GLA,2
GNV,2
GOI,2
HAJ,2
HKT,2
HOR,2
ICT,2
IFN,2
IRJ,2
ISE,2
ISP,2
ISU,2
IXE,2
KEF,2
KIV,2
KSH,2
KSY,2
KTM,2
LAP,2
LBE,2
LCH,2
LGQ,2
LHE,2
LOS,2
LPL,2
LRM,2
LUO,2
LWO,2
LZC,2
MAH,2
MHD,2
MLU,2
MRU,2
MSN,2
MSQ,2
NBO,2
NKT,2
NOB,2
NTE,2
OCC,2
ODS,2
OGL,2
OMA,2
ONT,2
ORF,2
ORN,2
OVD,2
PAV,2
PDL,2
PEU,2
PNA,2
PSA,2
PSP,2
PTP,2
PUF,2
PWM,2
PXO,2
RES,2
RTM,2
SFN,2
SGN,2
SJJ,2
SKT,2
SOF,2
SPR,2
SRE,2
SVD,2
TAS,2
TBP,2
TBS,2
TFS,2
TGI,2
TIA,2
TLH,2
TME,2
TNR,2
TTN,2
VXE,2
WUH,2
YQM,2
YQR,2
YTS,2
SUN,1
JAN,1
AAX,1
ABV,1
ABZ,1
ACT,1
AMD,1
ANC,1
ATA,1
AUR,1
BDS,1
BEG,1
BJV,1
BOH,1
BOI,1
BRI,1
BRO,1
BRS,1
BSR,1
BZN,1
CAE,1
CAK,1
CAP,1
CAY,1
CCC,1
CFB,1
CFU,1
CGH,1
CGP,1
CMW,1
COU,1
CPC,1
CPE,1
CRW,1
CTU,1
CUK,1
CWL,1
DAC,1
DGA,1
DIY,1
DKR,1
DPS,1
DRS,1
DYU,1
EGE,1
EIS,1
ELM,1
ERZ,1
FAT,1
FBM,1
FEZ,1
FMO,1
FNT,1
FRU,1
FSD,1
FUK,1
FWA,1
GBE,1
GIZ,1
GLF,1
GRB,1
GTF,1
GYA,1
HDN,1
HGH,1
HGR,1
HHN,1
HRE,1
HRL,1
HYA,1
HYD,1
IAG,1
IGD,1
ISN,1
ITB,1
JAC,1
JAI,1
JBQ,1
KGL,1
KHV,1
KYA,1
KZN,1
LAQ,1
LBA,1
LEJ,1
LEX,1
LIT,1
LNS,1
LPI,1
LRD,1
LTN,1
LUX,1
LUZ,1
MAM,1
MCE,1
MHH,1
MJV,1
MLA,1
MLN,1
MMH,1
MQP,1
MRV,1
MSU,1
MTB,1
MZH,1
NAL,1
NBC,1
NDR,1
NKG,1
NLA,1
NLD,1
NRN,1
NSI,1
OAJ,1
OOL,1
OZH,1
PEE,1
PEM,1
PEN,1
PHB,1
PJM,1
PLZ,1
PMO,1
PNQ,1
POP,1
PPT,1
PSE,1
PXM,1
RBA,1
REG,1
RHD,1
RHO,1
RNS,1
RYG,1
SBA,1
SCE,1
SDR,1
SEZ,1
SHJ,1
SHO,1
SKB,1
SKP,1
SLW,1
SMF,1
SNC,1
STR,1
STW,1
SUF,1
SWF,1
SZG,1
TAO,1
TER,1
TGM,1
TIF,1
TIP,1
TRS,1
TSF,1
TSN,1
TTQ,1
TYL,1
UYU,1
VAS,1
VHC,1
VPS,1
VQS,1
WDH,1
WLG,1
WMI,1
XIY,1
XNA,1
XQP,1
YBG,1
YFC,1
YMM,1
YNB,1
YQT,1
YSJ,1
ZAG,1
ZYL,1
(blank),
