,code,seats
9,MIA/FLL,1073209
6,JFK/EWR/LGA,416372
5,IAH,217279
4,IAD/DCA/BWI,200588
7,LAX,175422
8,MCO,143814
2,DFW,107084
1,ATL,74939
10,ORD,61462
11,SJC/OAK/SFO,47670
12,SJU,32170
3,DTW,15935
