,code,seats
9,MIA/FLL,1092753
6,JFK/EWR/LGA,340642
5,IAH,198217
4,IAD/DCA/BWI,154322
7,LAX,148732
8,MCO,139492
1,ATL,102276
2,DFW,95220
10,ORD,50052
11,SJC/OAK/SFO,35880
12,SJU,32410
3,DTW,13421
