,code,seats
9,MIA/FLL,1355072
6,JFK/EWR/LGA,425372
5,IAH,226004
4,IAD/DCA/BWI,200588
8,MCO,175465
7,LAX,175422
1,ATL,110560
2,DFW,107084
10,ORD,61462
11,SJC/OAK/SFO,47670
12,SJU,32170
3,DTW,15935
