,code,seats
9,MIA/FLL,856368
6,JFK/EWR/LGA,333322
5,IAH,189633
4,IAD/DCA/BWI,154322
7,LAX,148732
8,MCO,114536
2,DFW,95220
1,ATL,71656
10,ORD,50052
11,SJC/OAK/SFO,35880
12,SJU,32410
3,DTW,13421
