Origin,"Origin Name","Origin City","Origin State","Origin Country",Destination,"Destination Name","Destination City","Destination State","Destination Country","Direct Flights","Total Seats"
MDE,"Jose Marie Cordova",Medellin,,Colombia,BOG,"El Dorado Intl",Bogota,,Colombia,987,2048854
BOG,"El Dorado Intl",Bogota,,Colombia,MDE,"Jose Marie Cordova",Medellin,,Colombia,963,2029344
BOG,"El Dorado Intl",Bogota,,Colombia,CLO,"Alfonso B Aragon International",Cali,,Colombia,900,1700692
BOG,"El Dorado Intl",Bogota,,Colombia,CTG,"Rafael Nunez International",Cartagena,,Colombia,669,1499311
BOG,"El Dorado Intl",Bogota,,Colombia,BAQ,"Ernesto Cortissoz International",Barranquilla,,Colombia,542,1189250
CCS,"Simon Bolivar International",Caracas,,Venezuela,PMV,"Del Caribe International",Porlamar,,Venezuela,125,837987
BOG,"El Dorado Intl",Bogota,,Colombia,BGA,"Palonegro International",Bucaramanga,,Colombia,347,720642
BOG,"El Dorado Intl",Bogota,,Colombia,SMR,"Simon Bolivar Intl","Santa Marta",,Colombia,251,697118
BOG,"El Dorado Intl",Bogota,,Colombia,ADZ,"Gustavo R. Pinilla Int","San Andres Island",,Colombia,141,673971
BOG,"El Dorado Intl",Bogota,,Colombia,LIM,"Jorge Chavez Intl",Lima,,Peru,95,672628
BOG,"El Dorado Intl",Bogota,,Colombia,PEI,"Matecana International",Pereira,,Colombia,342,605741
MAR,"La Chinita International",Maracaibo,,Venezuela,CCS,"Simon Bolivar International",Caracas,,Venezuela,75,604145
BSB,"J. Kubitschek Intl",Brasilia,DF,Brazil,CGH,Congonhas,"Sao Paulo-Congonhas",SP,Brazil,173,595199
CCS,"Simon Bolivar International",Caracas,,Venezuela,MAR,"La Chinita International",Maracaibo,,Venezuela,65,594223
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,POA,"Salgado Filho Intl","Porto Alegre",RS,Brazil,121,557083
BOG,"El Dorado Intl",Bogota,,Colombia,CUC,"Camilo Daza",Cucuta,,Colombia,242,551966
MDE,"Jose Marie Cordova",Medellin,,Colombia,CLO,"Alfonso B Aragon International",Cali,,Colombia,130,544996
MDE,"Jose Marie Cordova",Medellin,,Colombia,CTG,"Rafael Nunez International",Cartagena,,Colombia,74,535102
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,CWB,"Afonso Pena International",Curitiba,PR,Brazil,117,508663
