Origin,"Origin Name","Origin City","Origin State","Origin Country",Destination,"Destination Name","Destination City","Destination State","Destination Country","Direct Flights","Total Seats"
BOG,"El Dorado Intl",Bogota,,Colombia,FLA,"Gustavo A. Paredes",Florencia,,Colombia,29,81556
CCS,"Simon Bolivar International",Caracas,,Venezuela,SDQ,"Las Americas International","Santo Domingo",,"Dominican Republic",10,81466
CCS,"Simon Bolivar International",Caracas,,Venezuela,LIM,"Jorge Chavez Intl",Lima,,Peru,28,79559
BOG,"El Dorado Intl",Bogota,,Colombia,LHR,Heathrow,London-Heathrow,EN,"United Kingdom",25,79322
BOG,"El Dorado Intl",Bogota,,Colombia,FLL,"Ft Lauderdale Intl","Fort Lauderdale",FL,"United States",31,78681
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,JPA,"Castro Pinto International","Joao Pessoa",PB,Brazil,47,78561
BOG,"El Dorado Intl",Bogota,,Colombia,PPN,"Guillermo L. Valencia",Popayan,,Colombia,34,78428
SAL,"El Salvador Intl","San Salvador",,"El Salvador",MGA,"Augusto C Sandino Intl",Managua,,Nicaragua,61,78024
SAP,"Ramon V. Morales Intl","San Pedro Sula",,Honduras,SAL,"El Salvador Intl","San Salvador",,"El Salvador",70,77796
CCS,"Simon Bolivar International",Caracas,,Venezuela,LSP,"Josefa Camejo International","Las Piedras",,Venezuela,16,77498
SAP,"Ramon V. Morales Intl","San Pedro Sula",,Honduras,TGU,"Toncontin Intl",Tegucigalpa,,Honduras,39,76604
SAL,"El Salvador Intl","San Salvador",,"El Salvador",IAD,"Dulles International",Washington-Dulles,VA,"United States",24,74378
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,BPS,"Porto Seguro","Porto Seguro",BA,Brazil,65,74063
SAL,"El Salvador Intl","San Salvador",,"El Salvador",MIA,"Miami International",Miami,FL,"United States",58,72736
BOG,"El Dorado Intl",Bogota,,Colombia,BCN,Barcelona,Barcelona,,Spain,18,71510
SAL,"El Salvador Intl","San Salvador",,"El Salvador",IAH,"George Bush Intercontinental",Houston-Intercontinental,TX,"United States",95,70963
