Origin,Terminal Desgination,Occurrances
CCS,PEI,12
BOG,PEI,354
SAP,PEI,4
SAL,PEK,16
GRU,PEK,6
CCS,PEK,1
BOG,PEK,2
BOG,PEM,3
GRU,PER,4
GRU,PET,41
SAL,PEU,5
SAP,PEU,36
GRU,PEW,4
GRU,PFB,16
SAL,PHL,37
GRU,PHL,9
CCS,PHL,12
BOG,PHL,9
SAP,PHL,90
SAL,PHX,26
GRU,PHX,3
CCS,PHX,1
BOG,PHX,4
SAP,PHX,18
SAP,PIA,1
SAL,PIT,4
BOG,PIT,3
SAP,PIT,8
SAL,PIU,10
GRU,PIU,1
CCS,PIU,1
BOG,PIU,8
SAL,PJM,10
SAL,PLJ,7
SAP,PLJ,3
SAL,PLS,1
CCS,PLS,4
SAP,PLS,1
GRU,PLU,53
GRU,PLZ,2
SAL,PMC,1
GRU,PMC,10
BOG,PMC,8
GRU,PMI,13
CCS,PMI,4
BOG,PMI,2
SAP,PMI,1
GRU,PMO,1
CCS,PMO,2
BOG,PMO,1
SAL,PMV,2
GRU,PMV,4
CCS,PMV,2870
BOG,PMV,47
GRU,PMW,55
GRU,PMY,1
SAL,PNA,1
CCS,PNA,1
BOG,PNA,1
CCS,PNR,1
SAL,PNS,6
BOG,PNS,1
SAP,PNS,1
GRU,PNZ,18
SAL,POA,7
GRU,POA,898
CCS,POA,9
BOG,POA,7
SAP,POA,1
SAL,POS,17
GRU,POS,2
CCS,POS,160
SAP,POS,15
SAL,POZ,1
GRU,PPB,48
BOG,PPN,88
SAL,PPT,6
GRU,PRA,1
SAL,PRG,1
GRU,PRG,2
CCS,PRG,4
BOG,PRG,1
GRU,PSA,1
GRU,PSE,1
SAL,PSO,4
GRU,PSO,1
CCS,PSO,1
BOG,PSO,184
SAL,PSP,5
SAP,PSP,3
GRU,PSS,3
BOG,PTX,14
SAL,PTY,1344
GRU,PTY,405
CCS,PTY,1444
BOG,PTY,995
SAP,PTY,893
BOG,PUF,1
SAL,PUJ,26
GRU,PUJ,39
CCS,PUJ,73
BOG,PUJ,83
SAP,PUJ,7
GRU,PUQ,1
BOG,PUQ,2
SAL,PUS,1
GRU,PUU,1
BOG,PUU,62
BOG,PVA,151
SAL,PVD,1
BOG,PVD,1
SAP,PVD,7
SAL,PVG,15
GRU,PVG,4
CCS,PVG,1
BOG,PVG,3
SAP,PVG,1
GRU,PVH,43
SAL,PVR,11
GRU,PVR,1
BOG,PVR,2
SAP,PVR,7
SAL,PWM,2
BOG,PWM,2
SAP,PWM,2
SAL,PXM,6
CCS,PXM,2
CCS,PXO,1
CCS,PYH,79
BOG,PYH,1
GRU,PZO,1
CCS,PZO,1689
BOG,PZO,18
SAP,PZO,3
SAL,QRO,9
SAP,QRO,3
GRU,RAI,7
CCS,RAK,2
GRU,RAO,97
SAL,RAP,1
GRU,RBA,1
BOG,RBA,1
GRU,RBR,6
SAL,RCH,1
GRU,RCH,2
BOG,RCH,109
SAL,RDU,12
CCS,RDU,1
BOG,RDU,3
SAP,RDU,15
SAL,REC,2
GRU,REC,829
CCS,REC,3
BOG,REC,7
GRU,REL,1
GRU,RES,2
SAL,REX,1
GRU,REX,2
BOG,REX,3
SAP,REX,2
GRU,RGA,8
GRU,RGL,7
GRU,RHD,1
GRU,RIA,34
SAL,RIC,4
GRU,RIC,2
CCS,RIC,2
BOG,RIC,1
SAP,RIC,2
BOG,RNG,4
SAL,RNO,4
SAP,ROA,1
SAL,ROC,3
GRU,ROC,1
BOG,ROC,1
SAP,ROC,5
GRU,ROO,5
GRU,ROS,49
CCS,ROS,4
BOG,ROS,2
GRU,ROV,1
BOG,RSD,1
SAL,RST,1
SAL,RSW,6
SAP,RSW,4
SAL,RTB,238
BOG,RTB,2
SAP,RTB,1321
GRU,RUH,9
CCS,RUH,1
BOG,RVE,43
GRU,SAL,10
CCS,SAL,74
BOG,SAL,139
SAP,SAL,2992
SAL,SAN,17
GRU,SAN,2
BOG,SAN,1
SAP,SAN,5
SAL,SAP,426
GRU,SAP,6
CCS,SAP,7
BOG,SAP,8
SAL,SAT,13
CCS,SAT,1
SAP,SAT,14
SAL,SAV,2
GRU,SAV,2
SAP,SAV,7
SAL,SAW,2
GRU,SAW,4
CCS,SAW,1
BOG,SAW,2
SAL,SBA,1
GRU,SBH,1
SAL,SBN,3
SAP,SBN,1
SAL,SCL,85
GRU,SCL,755
CCS,SCL,79
BOG,SCL,425
SAP,SCL,27
GRU,SCQ,3
BOG,SCQ,1
SAL,SCU,4
CCS,SCU,2
BOG,SCY,7
GRU,SDE,1
SAL,SDF,8
CCS,SDF,1
BOG,SDF,1
SAP,SDF,2
SAL,SDQ,17
GRU,SDQ,8
CCS,SDQ,222
BOG,SDQ,61
SAP,SDQ,17
GRU,SDU,349
CCS,SDU,1
SAL,SEA,26
GRU,SEA,5
BOG,SEA,5
SAP,SEA,18
GRU,SEZ,1
CCS,SFD,69
BOG,SFD,3
SAL,SFO,291
GRU,SFO,9
CCS,SFO,9
BOG,SFO,10
SAP,SFO,65
SAL,SGF,2
SAL,SGN,1
GRU,SGN,2
BOG,SGN,1
SAL,SHV,2
SAP,SHV,1
GRU,SID,10
SAL,SIN,2
GRU,SIN,7
CCS,SIN,2
SAP,SIN,1
SAL,SJC,15
BOG,SJC,1
SAP,SJC,6
SAL,SJD,10
CCS,SJD,1
BOG,SJD,3
SAP,SJD,3
BOG,SJE,17
SAL,SJO,1403
GRU,SJO,12
CCS,SJO,39
BOG,SJO,86
SAP,SJO,305
GRU,SJP,14
SAL,SJU,29
GRU,SJU,5
CCS,SJU,8
BOG,SJU,31
SAP,SJU,46
SAP,SKB,1
GRU,SKT,2
GRU,SLA,12
BOG,SLA,1
SAL,SLC,14
GRU,SLC,1
CCS,SLC,1
SAP,SLC,5
GRU,SLL,2
SAL,SLP,2
BOG,SLP,3
SAP,SLP,4
CCS,SLU,8
GRU,SLW,1
SAP,SLW,1
GRU,SLZ,183
SAL,SMF,18
SAP,SMF,4
SAL,SMR,3
GRU,SMR,2
CCS,SMR,20
BOG,SMR,745
SAL,SNA,6
SAP,SNA,6
SAL,SNN,1
CCS,SOF,1
CCS,SOM,123
BOG,SOM,1
BOG,SPC,1
SAL,SPI,1
SAL,SPR,8
SAP,SPR,3
GRU,SRE,1
SAL,SSA,1
GRU,SSA,1146
CCS,SSA,7
BOG,SSA,5
GRU,SSG,1
BOG,SSH,1
CCS,STD,568
SAL,STI,6
BOG,STI,3
SAL,STL,16
GRU,STL,1
CCS,STL,1
BOG,STL,1
SAP,STL,3
GRU,STM,7
GRU,STN,2
BOG,STN,2
GRU,STR,5
CCS,STR,1
BOG,STR,2
SAL,STT,1
GRU,STT,2
SAP,STX,1
SAL,SUN,1
BOG,SVI,4
SAL,SVO,14
GRU,SVO,12
CCS,SVO,8
BOG,SVO,2
SAP,SVO,1
GRU,SVQ,3
CCS,SVQ,1
BOG,SVQ,1
SAL,SXB,1
SAL,SXF,1
CCS,SXF,1
BOG,SXF,2
SAL,SXM,4
GRU,SXM,2
CCS,SXM,21
SAP,SXM,4
SAL,SYD,8
GRU,SYD,6
BOG,SYD,1
SAL,SYQ,25
SAP,SYQ,1
SAL,SYR,4
BOG,SYR,1
SAP,SYR,4
GRU,SZG,1
SAL,TAB,2
GRU,TAB,1
CCS,TAB,29
SAL,TAM,4
GRU,TAM,1
CCS,TAM,1
BOG,TAM,4
SAP,TAM,6
GRU,TAP,1
BOG,TAP,1
GRU,TAS,2
BOG,TBP,2
GRU,TBS,1
GRU,TBT,3
GRU,TBZ,1
SAL,TCO,2
BOG,TCO,117
BOG,TCQ,2
GRU,TDD,1
GRU,TET,1
GRU,TFF,14
SAL,TFN,1
GRU,TFN,3
CCS,TFN,2
BOG,TFN,1
CCS,TFS,3
SAP,TFS,1
BOG,TGI,4
SAL,TGU,732
GRU,TGU,8
CCS,TGU,4
BOG,TGU,6
SAP,TGU,2272
GRU,TGZ,2
CCS,TGZ,1
BOG,TGZ,10
GRU,THE,91
BOG,THE,1
GRU,TIF,2
SAL,TIJ,12
CCS,TIJ,3
BOG,TIJ,5
SAP,TIJ,10
GRU,TIP,1
GRU,TJA,6
GRU,TJL,3
CCS,TLC,1
BOG,TLC,2
SAP,TLH,1
GRU,TLL,1
BOG,TLN,1
SAL,TLS,1
GRU,TLS,2
CCS,TLS,2
SAL,TLV,5
GRU,TLV,10
CCS,TLV,1
BOG,TLV,1
SAP,TLV,1
SAL,TMU,11
GRU,TMW,1
SAL,TNA,1
GRU,TNG,3
SAP,TNG,1
GRU,TNR,1
SAL,TOY,2
SAL,TPA,35
GRU,TPA,3
CCS,TPA,6
BOG,TPA,6
SAP,TPA,38
SAL,TPE,44
GRU,TPE,1
CCS,TPE,1
BOG,TPE,3
SAL,TPP,2
GRU,TPP,1
BOG,TPP,10
CCS,TPQ,1
SAP,TPQ,2
SAL,TRC,3
GRU,TRC,1
BOG,TRC,6
SAP,TRC,3
CCS,TRI,1
SAL,TRU,16
CCS,TRU,2
BOG,TRU,7
GRU,TSF,1
GRU,TSR,2
BOG,TTN,1
SAP,TTN,4
GRU,TUC,5
SAL,TUL,10
SAP,TUL,4
CCS,TUN,2
BOG,TUN,2
SAL,TUS,6
GRU,TUS,1
SAP,TUS,1
GRU,TUU,1
GRU,TXF,2
SAL,TXL,1
GRU,TXL,10
CCS,TXL,2
BOG,TXL,2
SAP,TXL,3
BOG,TYL,1
SAL,TYR,1
SAL,TYS,3
SAP,TYS,6
SAL,TZA,21
SAP,TZA,7
GRU,TZX,3
GRU,UBA,6
GRU,UDI,45
SAL,UIB,1
CCS,UIB,1
BOG,UIB,72
SAP,UII,11
SAL,UIO,247
GRU,UIO,130
CCS,UIO,66
BOG,UIO,166
SAP,UIO,39
GRU,UPG,1
GRU,URC,1
GRU,URG,8
GRU,USH,3
BOG,USH,2
GRU,UTN,1
GRU,UVF,1
GRU,VAL,1
GRU,VAN,1
GRU,VAS,1
GRU,VCE,6
CCS,VCE,1
SAL,VCP,2
BOG,VCP,1
GRU,VDC,23
SAL,VER,5
CCS,VER,1
BOG,VER,4
SAP,VER,4
GRU,VFA,1
GRU,VGO,2
CCS,VGO,1
BOG,VGO,4
BOG,VGZ,30
GRU,VIE,5
CCS,VIE,3
BOG,VIE,3
SAP,VIE,3
CCS,VIG,841
GRU,VIL,1
GRU,VIX,380
BOG,VIX,3
GRU,VKO,1
BOG,VKO,1
GRU,VLC,7
CCS,VLC,2
BOG,VLC,1
SAL,VLN,11
BOG,VLN,23
CCS,VLV,12
GRU,VNO,1
SAL,VPS,3
SAP,VPS,1
BOG,VQS,1
CCS,VRN,2
GRU,VSA,3
CCS,VSA,2
BOG,VSA,5
SAL,VUP,2
GRU,VUP,2
CCS,VUP,5
BOG,VUP,195
CCS,VVC,2
BOG,VVC,64
SAL,VVI,26
GRU,VVI,59
CCS,VVI,8
BOG,VVI,7
SAP,VVI,8
SAL,WAW,2
GRU,WAW,5
CCS,WAW,1
BOG,WAW,1
SAL,WMI,1
GRU,WMI,1
BOG,WMI,1
BOG,WRO,1
SAL,WUH,1
GRU,WUH,1
SAP,WUH,1
GRU,WVB,1
GRU,XAP,47
CCS,XIY,1
SAL,XNA,5
BOG,XNA,1
SAL,XQP,4
BOG,XRY,3
SAL,YAM,3
SAL,YEG,9
BOG,YEG,1
SAP,YEG,1
SAL,YFC,2
CCS,YHM,2
SAL,YHZ,1
BOG,YHZ,1
SAP,YHZ,2
SAP,YLW,1
SAL,YMM,1
GRU,YNB,2
SAL,YOW,6
BOG,YOW,2
SAP,YOW,1
SAL,YQB,2
BOG,YQB,1
SAL,YQM,2
SAP,YQM,1
SAL,YQR,2
BOG,YQR,2
SAL,YQT,2
CCS,YQT,1
SAL,YSB,1
SAP,YSB,1
SAL,YSJ,2
SAL,YTZ,2
SAP,YTZ,1
SAL,YUL,35
GRU,YUL,12
CCS,YUL,7
BOG,YUL,14
SAP,YUL,42
SAP,YVO,1
SAL,YVR,19
GRU,YVR,2
SAP,YVR,3
SAL,YWG,2
BOG,YWG,1
SAL,YXU,1
SAL,YYC,17
GRU,YYC,3
BOG,YYC,7
SAP,YYC,7
SAL,YYG,1
BOG,YYG,1
SAL,YYJ,1
SAL,YYT,1
SAL,YYZ,302
GRU,YYZ,33
CCS,YYZ,12
BOG,YYZ,28
SAP,YYZ,46
SAL,YZR,1
GRU,ZAG,2
GRU,ZAL,2
SAL,ZCL,1
GRU,ZCL,2
SAP,ZCL,1
GRU,ZCO,7
CCS,ZCO,1
BOG,ZCO,10
SAL,ZIH,5
GRU,ZIH,1
CCS,ZIH,2
SAP,ZIH,2
SAL,ZLO,3
BOG,ZLO,1
GRU,ZNZ,2
SAL,ZRH,2
GRU,ZRH,44
CCS,ZRH,6
BOG,ZRH,4
SAP,ZRH,6
GRU,ZYL,1
