Origin,Terminal Desgination,Occurrances
GRU,CID,1
SAL,CIX,15
GRU,CIX,3
BOG,CIX,5
SAL,CJA,10
CCS,CJA,1
BOG,CJA,10
SAL,CJC,1
GRU,CJC,13
BOG,CJC,9
SAL,CJS,2
SAP,CJS,2
GRU,CKS,3
SAL,CLE,10
CCS,CLE,2
BOG,CLE,2
SAP,CLE,12
SAL,CLL,1
SAL,CLO,217
GRU,CLO,11
CCS,CLO,59
BOG,CLO,1470
SAP,CLO,25
SAL,CLQ,1
BOG,CLQ,1
SAP,CLQ,1
SAL,CLT,75
GRU,CLT,12
CCS,CLT,47
BOG,CLT,16
SAP,CLT,78
SAL,CMB,2
GRU,CMB,1
BOG,CME,3
GRU,CMG,9
SAL,CMH,6
GRU,CMH,1
BOG,CMH,3
SAP,CMH,4
GRU,CMN,24
CCS,CMN,1
BOG,CMN,2
SAP,CMN,1
CCS,CMW,3
SAP,CMW,1
SAL,CNF,1
GRU,CNF,639
CCS,CNF,2
BOG,CNF,4
SAP,CNF,1
SAL,COK,1
GRU,COK,8
SAL,COR,21
GRU,COR,60
CCS,COR,15
BOG,COR,6
SAP,COR,2
SAL,COS,1
CCS,CPE,1
SAL,CPH,2
GRU,CPH,2
CCS,CPH,1
BOG,CPH,2
SAP,CPH,3
GRU,CPO,4
BOG,CPO,9
GRU,CPT,7
GRU,CPV,6
GRU,CRD,17
SAL,CRL,1
GRU,CRL,2
SAL,CRP,2
SAL,CRW,2
SAP,CRW,1
SAL,CTA,1
GRU,CTA,1
CCS,CTA,1
BOG,CTA,1
SAL,CTG,39
GRU,CTG,7
CCS,CTG,46
BOG,CTG,1220
SAP,CTG,4
BOG,CTM,1
SAL,CTU,1
GRU,CTU,1
SAL,CUC,18
GRU,CUC,6
CCS,CUC,10
BOG,CUC,605
SAP,CUC,2
SAL,CUE,8
GRU,CUE,1
CCS,CUE,1
BOG,CUE,11
SAL,CUK,10
SAP,CUK,4
SAL,CUL,5
CCS,CUL,1
BOG,CUL,2
SAP,CUL,5
CCS,CUM,160
SAL,CUN,33
GRU,CUN,43
CCS,CUN,92
BOG,CUN,230
SAP,CUN,2
SAL,CUR,9
GRU,CUR,1
CCS,CUR,694
BOG,CUR,55
SAP,CUR,7
SAL,CUU,1
GRU,CUU,1
BOG,CUU,3
SAP,CUU,2
SAL,CUZ,38
GRU,CUZ,25
BOG,CUZ,80
SAP,CUZ,3
SAL,CVG,7
GRU,CVG,1
BOG,CVG,1
SAP,CVG,7
SAL,CVM,3
CCS,CVM,1
BOG,CVM,1
SAP,CVM,3
BOG,CWA,1
GRU,CWB,562
CCS,CWB,3
BOG,CWB,1
SAL,CYB,1
CCS,CYB,2
CCS,CYO,1
SAP,CYO,1
CCS,CZE,50
SAP,CZH,1
GRU,CZM,1
CCS,CZM,2
SAL,CZU,1
CCS,CZU,1
BOG,CZU,31
SAL,DAB,1
SAP,DAB,1
GRU,DAC,1
SAP,DAC,1
SAL,DAL,11
GRU,DAL,1
CCS,DAL,1
SAP,DAL,2
GRU,DAR,3
SAL,DAV,11
GRU,DAV,1
CCS,DAV,8
BOG,DAV,1
SAP,DAV,3
SAL,DAY,2
GRU,DBQ,1
SAL,DCA,24
GRU,DCA,6
CCS,DCA,7
BOG,DCA,6
SAP,DCA,47
GRU,DDG,1
SAL,DEC,1
SAL,DEL,1
GRU,DEL,12
BOG,DEL,3
SAP,DEL,2
SAL,DEN,56
GRU,DEN,7
CCS,DEN,2
BOG,DEN,9
SAP,DEN,35
SAL,DFW,321
GRU,DFW,47
CCS,DFW,14
BOG,DFW,42
SAP,DFW,116
SAL,DGA,1
SAP,DGA,4
SAL,DGO,2
CCS,DGO,1
BOG,DGO,1
SAP,DGO,1
GRU,DIY,2
SAL,DKR,1
GRU,DKR,2
BOG,DKR,1
SAL,DME,6
GRU,DME,1
CCS,DME,2
BOG,DME,2
SAP,DME,7
GRU,DMM,2
SAL,DOH,12
GRU,DOH,211
CCS,DOH,3
BOG,DOH,5
SAP,DOH,3
GRU,DOU,37
SAL,DPS,1
SAL,DRK,3
SAL,DRO,1
GRU,DRS,1
SAL,DSM,2
SAP,DSM,1
SAL,DTW,47
GRU,DTW,21
CCS,DTW,3
BOG,DTW,3
SAP,DTW,26
SAL,DUB,2
GRU,DUB,6
CCS,DUB,3
BOG,DUB,2
SAP,DUB,1
GRU,DUR,5
SAL,DUS,6
GRU,DUS,5
CCS,DUS,5
BOG,DUS,5
SAP,DUS,2
GRU,DWC,1
SAL,DXB,17
GRU,DXB,199
CCS,DXB,4
BOG,DXB,8
SAP,DXB,15
GRU,DYU,1
BOG,EAS,1
GRU,EBL,6
GRU,ECN,4
SAL,ECP,2
GRU,EDI,2
CCS,EDI,1
BOG,EDI,1
SAL,EGE,2
GRU,EGE,3
CCS,EGE,2
BOG,EGE,1
SAP,EIS,1
CCS,EJA,3
BOG,EJA,97
SAL,ELH,1
SAP,ELH,1
SAL,ELP,5
SAP,ELP,2
GRU,ELQ,2
GRU,ELS,3
SAL,EOH,4
GRU,EOH,2
CCS,EOH,2
BOG,EOH,186
GRU,EQS,3
GRU,ERZ,1
GRU,ESB,6
GRU,ESM,1
BOG,ESM,27
SAL,ETR,4
SAL,EUG,1
SAP,EUX,1
SAL,EWR,257
GRU,EWR,77
CCS,EWR,24
BOG,EWR,23
SAP,EWR,153
SAL,EYP,3
CCS,EYP,2
BOG,EYP,312
SAL,EYW,1
GRU,EYW,1
CCS,EYW,2
BOG,EYW,1
SAP,EYW,5
SAL,EZE,90
GRU,EZE,502
CCS,EZE,209
BOG,EZE,139
SAP,EZE,11
SAL,FAR,1
SAL,FAT,1
SAP,FAT,1
GRU,FBM,1
SAL,FCO,3
GRU,FCO,67
CCS,FCO,73
BOG,FCO,5
SAP,FCO,2
GRU,FDH,1
GRU,FEN,29
GRU,FIH,1
GRU,FKB,1
GRU,FLA,1
BOG,FLA,64
SAL,FLL,1103
GRU,FLL,12
CCS,FLL,124
BOG,FLL,228
SAP,FLL,2249
GRU,FLN,408
CCS,FLN,4
BOG,FLN,1
GRU,FLR,1
BOG,FMA,2
SAP,FMO,1
GRU,FNC,3
CCS,FNC,24
SAL,FNT,1
SAP,FNT,1
SAL,FON,6
GRU,FOR,734
CCS,FOR,1
BOG,FOR,7
SAP,FOR,1
SAL,FPO,5
GRU,FPO,1
CCS,FPO,1
SAP,FPO,4
SAL,FRA,29
GRU,FRA,164
CCS,FRA,17
BOG,FRA,28
SAP,FRA,58
SAL,FRS,101
BOG,FRS,3
GRU,FRU,1
SAP,FSM,3
GRU,FTE,11
CCS,FTE,1
SAL,FUE,1
CCS,FUE,2
BOG,FUE,1
SAL,FUK,1
GRU,FUK,1
CCS,GAO,3
SAL,GCM,5
GRU,GCM,1
CCS,GCM,8
BOG,GCM,1
SAP,GCM,8
SAL,GDL,22
GRU,GDL,6
BOG,GDL,16
SAP,GDL,42
SAL,GEG,1
GRU,GEO,1
CCS,GEO,58
SAP,GEO,2
CCS,GER,2
BOG,GER,1
SAP,GER,2
CCS,GGT,1
SAL,GIG,10
GRU,GIG,515
CCS,GIG,10
BOG,GIG,23
SAP,GIG,3
SAL,GJA,1
SAP,GJA,7
BOG,GJT,1
GRU,GLA,2
BOG,GLA,1
SAL,GLF,2
SAL,GND,1
CCS,GND,24
SAP,GND,5
SAP,GNV,3
GRU,GOA,1
SAL,GOJ,1
GRU,GOT,2
BOG,GOT,3
BOG,GPI,32
BOG,GPS,1
SAP,GRB,1
GRU,GRJ,1
CCS,GRK,1
BOG,GRK,1
SAP,GRK,2
SAL,GRR,1
SAP,GRR,5
SAL,GRU,37
CCS,GRU,82
BOG,GRU,129
SAP,GRU,10
CCS,GRV,1
SAL,GRX,2
BOG,GRX,1
GRU,GRZ,1
SAL,GSO,4
CCS,GSO,1
SAP,GSO,2
SAL,GSP,1
GRU,GSP,1
SAL,GUA,1427
GRU,GUA,6
CCS,GUA,12
BOG,GUA,46
SAP,GUA,2221
SAL,GVA,3
GRU,GVA,12
CCS,GVA,6
BOG,GVA,4
GRU,GVR,5
GRU,GYD,3
