Code,sum_occur
MSY,42
MTJ,1
MTR,348
MTT,3
MTY,89
MUB,1
MUC,89
MUN,673
MVD,208
MVP,24
MXL,7
MXP,69
MYR,2
MZL,230
MZT,12
NAL,1
NAN,1
NAP,5
NAS,41
NAT,263
NAV,1
NBO,3
NCE,8
NIM,3
NKG,2
NLD,3
NOB,1
NOP,1
NOU,1
NQN,10
NQU,4
NRT,65
NTE,2
NUE,2
NVA,246
NVT,116
OAJ,2
OAK,11
OAL,6
OAX,16
OCC,2
OGG,2
OKA,1
OKC,11
OLB,1
OMA,8
ONT,1
OPO,25
OPS,20
ORD,398
ORF,13
ORK,2
ORY,23
OSL,7
OST,1
OTP,12
OVD,5
PAC,53
PAP,68
PAV,3
PAZ,3
PBC,3
PBG,1
PBI,17
PBM,8
PBP,1
PCL,5
PCR,19
PDA,18
PDL,2
PDP,9
PDX,13
PEI,384
PEK,25
PEM,3
PER,4
PET,41
PEU,41
PEW,4
PFB,16
PHL,157
PHX,52
PIA,1
PIT,15
PIU,20
PJM,10
PLJ,10
PLS,6
PLU,53
PLZ,2
PMC,19
PMI,20
PMO,4
PMV,2923
PMW,55
PMY,1
PNA,3
PNR,1
PNS,8
PNZ,18
POA,922
POS,194
POZ,1
PPB,48
PPN,88
PPT,6
PRA,1
PRG,8
PSA,1
PSE,1
PSO,190
PSP,8
PSS,3
PTX,14
PTY,5081
PUF,1
PUJ,228
PUQ,3
PUS,1
PUU,63
PVA,151
PVD,9
PVG,24
PVH,43
PVR,21
PWM,6
PXM,8
PXO,1
PYH,80
PZO,1711
QRO,12
RAI,7
RAK,2
RAO,97
RAP,1
RBA,2
RBR,6
RCH,112
RDU,31
REC,841
REL,1
RES,2
REX,8
RGA,8
RGL,7
RHD,1
RIA,34
RIC,11
RNG,4
RNO,4
ROA,1
ROC,10
ROO,5
ROS,55
ROV,1
RSD,1
RST,1
RSW,10
RTB,1561
RUH,10
RVE,43
SAL,3215
SAN,25
SAP,447
SAV,11
SAW,9
SBA,1
SBH,1
SBN,4
SCL,1371
SCQ,4
SCU,6
SCY,7
SDE,1
SDF,12
SDQ,325
SDU,350
SEA,54
SEZ,1
SFD,72
SFO,384
SGF,2
SGN,4
SHV,3
SID,10
SIN,12
SJC,22
SJD,17
SJE,17
SJO,1845
SJP,14
SJU,119
SKB,1
SKT,2
SLA,13
SLC,21
SLL,2
SLP,9
SLU,8
SLW,2
SLZ,183
SMF,22
SMR,770
SNA,12
SNN,1
SOF,1
SOM,124
SPC,1
SPI,1
SPR,11
SRE,1
SSA,1159
SSG,1
SSH,1
STD,568
STI,9
STL,22
STM,7
STN,4
STR,8
STT,3
STX,1
SVI,4
SVO,37
SVQ,5
SXB,1
SXF,4
SXM,31
SYD,15
SYQ,26
SYR,9
SZG,1
TAB,32
TAM,16
TAP,2
TAS,2
TBP,2
TBS,1
TBT,3
TBZ,1
TCO,119
TCQ,2
TDD,1
TET,1
TFF,14
TFN,7
TFS,4
TGI,4
TGU,3022
TGZ,13
THE,92
TIF,2
TIJ,30
TIP,1
TJA,6
TJL,3
TLC,3
TLH,1
TLL,1
TLN,1
TLS,5
TLV,18
TMU,11
TMW,1
TNA,1
TNG,4
TNR,1
TOY,2
TPA,88
TPE,49
TPP,13
TPQ,3
TRC,13
TRI,1
TRU,25
TSF,1
TSR,2
TTN,5
TUC,5
TUL,14
TUN,4
TUS,8
TUU,1
TXF,2
TXL,18
TYL,1
TYR,1
TYS,9
TZA,28
TZX,3
UBA,6
UDI,45
UIB,74
UII,11
UIO,648
UPG,1
URC,1
URG,8
USH,5
UTN,1
UVF,1
VAL,1
VAN,1
VAS,1
VCE,7
VCP,3
VDC,23
VER,14
VFA,1
VGO,7
VGZ,30
VIE,14
VIG,841
VIL,1
VIX,383
VKO,2
VLC,10
VLN,34
VLV,12
VNO,1
VPS,4
VQS,1
VRN,2
VSA,10
VUP,204
VVC,66
VVI,108
WAW,9
WMI,3
WRO,1
WUH,3
WVB,1
XAP,47
XIY,1
XNA,6
XQP,4
XRY,3
YAM,3
YEG,11
YFC,2
YHM,2
YHZ,4
YLW,1
YMM,1
YNB,2
YOW,9
YQB,3
YQM,3
YQR,4
YQT,3
YSB,2
YSJ,2
YTZ,3
YUL,110
YVO,1
YVR,24
YWG,3
YXU,1
YYC,34
YYG,2
YYJ,1
YYT,1
YYZ,421
YZR,1
ZAG,2
ZAL,2
ZCL,4
ZCO,18
ZIH,10
ZLO,4
ZNZ,2
ZRH,62
ZYL,1
(blank),
Grand Total,100000
