,State,sum_occur
1,FL,6926
2,TX,4734
3,NY,1288
4,CA,1100
5,GA,1010
6,NJ,415
7,DC,374
8,IL,330
9,NC,274
10,PA,179
11,PR,165
12,MD,150
13,MA,148
14,CO,138
15,NV,121
16,MI,114
17,MN,91
18,LA,84
19,OH,79
20,TN,67
,MO,48
,AZ,46
,WA,44
,MT,40
,CT,35
,OK,33
,IN,32
,UT,31
,SC,30
,HI,25
,VA,23
,AR,21
,AL,20
,OR,20
,NE,19
,MS,15
,NM,15
,WI,15
,KY,14
,KS,10
,VI,7
,RI,6
,IA,5
,NH,5
,ME,4
,VT,3
,SD,2
,AK,1
,DE,1
,ID,1
,WV,1
,WY,1
