"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",1.04338625324987,0.265892987436955,3.92408338146665,0.000256856854340307
"real_100000",11.2164412252384,0.575172349151416,19.5010091180263,1.42736959854596e-25
