"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.670474332699885,0.10363612216659,6.46950424893486,1.27471620063152e-09
"real_100000",7.23882375578426,0.385155035023944,18.7945712700712,1.74327579433692e-41
