"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.663019644221102,0.100813090482525,6.57672174365123,6.97259917062673e-10
"real_100000",7.13153838371017,0.378579001233797,18.8376491048588,6.41248329193451e-42
