"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.560434662874472,0.0975950709215802,5.74244844111844,4.82777710261643e-08
"real_100000",6.75460508125273,0.397157946916177,17.0073521975335,3.51424829262605e-37
