"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",1.39501336372882,0.278773209766538,5.00411558519949,7.62766157935981e-06
"real_100000",11.3345425589835,0.537316127943095,21.0947372869177,3.09122756817494e-26
