"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.570241380332035,0.101459680876069,5.62037427486661,8.94429561215119e-08
"real_100000",6.77975830892073,0.408728571420384,16.5874342607374,7.70049344017132e-36
