"state","seats","case_count"
"CA",45264,9
"FL",136805,32
"GA",39480,7
"IL",11882,3
"MI",1098,1
"NJ",13652,1
"NY",25006,7
"PR",120,0
"TX",93586,13
"VA",22810,0
"AL",0,2
"AZ",0,1
"CO",0,2
"DC",0,3
"DE",0,1
"IA",0,3
"IN",0,1
"KS",0,1
"KY",0,1
"LA",0,2
"MD",0,3
"ME",0,1
"MN",0,1
"MO",0,1
"MT",0,1
"NC",0,5
"NE",0,2
"NH",0,1
"OH",0,4
"OK",0,2
"OR",0,2
"PA",0,6
"TN",0,1
"unknown",0,1
"UT",0,1
"WA",0,2
"WV",0,1
