code,seats
RES,4
RIC,4
RSW,4
SCY,4
SLP,4
SOF,4
STN,4
STR,4
SXF,4
SYQ,4
TLH,4
TZX,4
YQM,4
ZIH,4
ABJ,3
ABQ,3
ACC,3
AMD,3
ASR,3
BGO,3
BJV,3
BOD,3
BSL,3
CAB,3
CMW,3
COS,3
CPE,3
CVM,3
DIY,3
DKR,3
DSM,3
DUR,3
FEC,3
IFN,3
IGR,3
ISU,3
KEF,3
LBB,3
LED,3
LEI,3
LGQ,3
LHE,3
LOS,3
MDW,3
MED,3
MOB,3
MTT,3
NLD,3
ODS,3
OVD,3
PAZ,3
PBC,3
PBG,3
PDS,3
PJM,3
PLS,3
PLZ,3
PMO,3
PNQ,3
PNS,3
PVD,3
RBA,3
RHD,3
SCU,3
SDF,3
SKG,3
SNU,3
SPC,3
SVD,3
TBS,3
TFS,3
TGI,3
UII,3
VAN,3
VCP,3
VLV,3
WMI,3
XNA,3
YHM,3
YQB,3
YYT,3
ZCL,3
ACR,2
ADL,2
AGU,2
AQJ,2
ASB,2
BEM,2
BGW,2
BIM,2
BLL,2
BOC,2
BRI,2
BVA,2
BVC,2
CAK,2
CAY,2
CGH,2
CIT,2
CMI,2
CPC,2
DAR,2
EAS,2
ECN,2
EGE,2
ELP,2
ELS,2
EQS,2
EVV,2
FAO,2
FIH,2
FMA,2
FMO,2
FON,2
GAO,2
GDN,2
GER,2
GNV,2
GOI,2
GPS,2
GRJ,2
GRX,2
GZT,2
HBE,2
HGH,2
HRK,2
HYD,2
JAU,2
KRT,2
KZR,2
LBA,2
LBE,2
LBV,2
LCY,2
LFT,2
LMM,2
LRM,2
LXR,2
LZC,2
MAF,2
MAH,2
MDT,2
MLI,2
MQM,2
MTB,2
NAL,2
NKG,2
OOL,2
ORF,2
PDL,2
PEM,2
PHB,2
PLJ,2
POP,2
PPT,2
PUF,2
QRO,2
RAK,2
ROV,2
SDR,2
SFN,2
SGN,2
SHV,2
SNC,2
SOU,2
SPU,2
SRE,2
TAS,2
TBP,2
TER,2
TIA,2
TMU,2
TNR,2
TUS,2
VAS,2
VNO,2
YQT,2
YTS,2
ZLO,2
AAX,1
ABI,1
ACK,1
ACV,1
AGS,1
AHB,1
AHO,1
ALA,1
AMA,1
ANS,1
APN,1
ASE,1
ATA,1
ATW,1
AXA,1
BDS,1
BFN,1
BFS,1
BNE,1
BQN,1
BRE,1
BRS,1
BTR,1
BUR,1
BYC,1
CAG,1
CCC,1
CCU,1
CEI,1
CGO,1
CHO,1
CHX,1
CIZ,1
CLL,1
CLV,1
COO,1
CRP,1
CRW,1
CSX,1
CTC,1
CTU,1
CYB,1
CYO,1
DAB,1
DJE,1
DLA,1
DLH,1
DNZ,1
DOM,1
DPS,1
DRS,1
DVO,1
ELD,1
EMA,1
EVN,1
FAI,1
FAR,1
FAT,1
FEZ,1
FRU,1
FUK,1
GAN,1
GGT,1
GIZ,1
GLF,1
GRO,1
GRR,1
GRZ,1
GSO,1
HDS,1
HER,1
HOU,1
HRG,1
IAG,1
INV,1
ITB,1
JAI,1
JBQ,1
JER,1
JIB,1
JRO,1
KIV,1
KMI,1
KOA,1
KSH,1
KSY,1
KTW,1
KWL,1
KYA,1
LEJ,1
LEX,1
LGB,1
LIH,1
LIL,1
LJU,1
LKO,1
LNS,1
LNZ,1
LRD,1
LSE,1
LUQ,1
LYP,1
MDQ,1
MHH,1
MHT,1
MIR,1
MLA,1
MLX,1
MMH,1
MPL,1
MPM,1
MRU,1
MRV,1
MSN,1
MYJ,1
MZR,1
NAY,1
NBC,1
NGO,1
NIM,1
NKC,1
NLA,1
NOP,1
OAJ,1
OKA,1
ORN,1
OUA,1
OUL,1
OZZ,1
PEU,1
PEW,1
PIN,1
PSS,1
RNO,1
RSD,1
RTM,1
RVN,1
SBA,1
SBP,1
SCO,1
SHA,1
SJJ,1
SLL,1
SPR,1
SSG,1
SSH,1
STW,1
SVG,1
SVX,1
SXB,1
SYR,1
SYZ,1
SZF,1
TBZ,1
TGM,1
TNO,1
TSE,1
TSF,1
TSR,1
TTN,1
TUR,1
TYL,1
TYR,1
TYS,1
TZL,1
UDR,1
UME,1
URC,1
UTN,1
VFA,1
VIL,1
VRA,1
VRN,1
WDH,1
WLG,1
XCR,1
XMS,1
YKO,1
YNB,1
YQR,1
YQY,1
YSJ,1
YTZ,1
YWG,1
YXE,1
(blank),
