"code","seats"
"ATL",97625
"DFW",65919
"DTW",21828
"IAD/DCA/BWI",62831
"IAH",233736
"JFK/EWR/LGA",295741
"LAX",154989
"MCO",120196
"MIA/FLL",712843
"ORD",29279
"SJC/OAK/SFO",15960
"SJU",39480
