"code","seats","case_count"
"CA",173030,13
"DC",123750,3
"FL",822809,35
"GA",71656,7
"IL",47292,3
"MI",13421,1
"NJ",77880,1
"NY",199079,6
"PR",28330,0
"TX",251558,13
"AL",0,4
"AZ",0,1
"CO",0,2
"DE",0,1
"IA",0,3
"IN",0,1
"KS",0,1
"KY",0,1
"LA",0,2
"MD",0,3
"ME",0,1
"MO",0,1
"MT",0,1
"NC",0,6
"NE",0,2
"NH",0,1
"OH",0,6
"OK",0,2
"OR",0,2
"PA",0,6
"TN",0,1
"unknown",0,1
"UT",0,1
"WA",0,2
"WV",0,1
