Origin,Origin Name,Origin City,Origin State,Origin Country,Destination,Destination Name,Destination City,Destination State,Destination Country,Occurrences,Total Seats
BOG,El Dorado Intl,Bogota,,Colombia,CTG,Rafael Nunez International,Cartagena,,Colombia,149,63869
BOG,El Dorado Intl,Bogota,,Colombia,CLO,Alfonso B Aragon International,Cali,,Colombia,155,56406
BOG,El Dorado Intl,Bogota,,Colombia,BAQ,Ernesto Cortissoz International,Barranquilla,,Colombia,123,51062
BOG,El Dorado Intl,Bogota,,Colombia,MEX,Benito Juarez Intl,Mexico City,,Mexico,53,20967
BOG,El Dorado Intl,Bogota,,Colombia,GRU,Guarulhos Intl,Sao Paulo-Guarulhos,SP,Brazil,30,20720
BOG,El Dorado Intl,Bogota,,Colombia,BGA,Palonegro International,Bucaramanga,,Colombia,57,19219
BOG,El Dorado Intl,Bogota,,Colombia,MIA,Miami International,Miami,FL,United States,14,15340
BOG,El Dorado Intl,Bogota,,Colombia,ADZ,Gustavo R. Pinilla Int,San Andres Island,,Colombia,28,14116
BOG,El Dorado Intl,Bogota,,Colombia,PTY,"Tocumen Intl, Panama R",Panama City,,Panama,22,12625
BOG,El Dorado Intl,Bogota,,Colombia,MTR,Los Garzones,Monteria,,Colombia,24,10475
BOG,El Dorado Intl,Bogota,,Colombia,IAH,George Bush Intercontinental,Houston-Intercontinental,TX,United States,14,9798
BOG,El Dorado Intl,Bogota,,Colombia,FLL,Ft Lauderdale Intl,Fort Lauderdale,FL,United States,8,7869
BOG,El Dorado Intl,Bogota,,Colombia,AXM,El Eden International,Armenia,,Colombia,16,7426
BOG,El Dorado Intl,Bogota,,Colombia,BCN,Barcelona,Barcelona,,Spain,9,7056
BOG,El Dorado Intl,Bogota,,Colombia,ATL,Hartsfield-Jackson ATL,Atlanta,GA,United States,15,6980
BOG,El Dorado Intl,Bogota,,Colombia,LHR,Heathrow,London-Heathrow,EN,United Kingdom,8,6552
BOG,El Dorado Intl,Bogota,,Colombia,EYP,El Alcaravan,Yopal,,Colombia,12,5816
BOG,El Dorado Intl,Bogota,,Colombia,UIO,Mariscal Sucre Intl,Quito,,Ecuador,10,5450
BOG,El Dorado Intl,Bogota,,Colombia,NVA,Benito Salas,Neiva,,Colombia,15,5084
BOG,El Dorado Intl,Bogota,,Colombia,JFK,John F Kennedy Intl,New York-JFK,NY,United States,6,4823
BOG,El Dorado Intl,Bogota,,Colombia,MCO,Orlando Intl,Orlando,FL,United States,7,4800
BOG,El Dorado Intl,Bogota,,Colombia,CCS,Simon Bolivar International,Caracas,,Venezuela,6,4324
BOG,El Dorado Intl,Bogota,,Colombia,LAX,Los Angeles Intl,Los Angeles,CA,United States,9,4272
BOG,El Dorado Intl,Bogota,,Colombia,MZL,La Nubia,Manizales,,Colombia,10,4148
BOG,El Dorado Intl,Bogota,,Colombia,MDE,Jose Marie Cordova,Medellin,,Colombia,10,3876
BOG,El Dorado Intl,Bogota,,Colombia,LET,Alfredo V. Cobb Intl,Leticia,,Colombia,12,3756
BOG,El Dorado Intl,Bogota,,Colombia,PSO,Antonio Narino,Pasto,,Colombia,12,3402
BOG,El Dorado Intl,Bogota,,Colombia,VUP,Alfonso Lopez Pumarejo,Valledupar,,Colombia,9,3215
BOG,El Dorado Intl,Bogota,,Colombia,CDG,Charles De Gaulle,Paris-De Gaulle,,France,4,3025
BOG,El Dorado Intl,Bogota,,Colombia,EZE,Ministro Pistarini,Buenos Aires,BA,Argentina,6,2734
BOG,El Dorado Intl,Bogota,,Colombia,PUJ,Punta Cana International,Punta Cana,,Dominican Republic,8,2600
BOG,El Dorado Intl,Bogota,,Colombia,SAL,El Salvador Intl,San Salvador,,El Salvador,9,2540
BOG,El Dorado Intl,Bogota,,Colombia,EOH,Enrique Olaya Herrera,Medellin,,Colombia,11,2308
BOG,El Dorado Intl,Bogota,,Colombia,IBE,Perales,Ibague,,Colombia,7,2176
BOG,El Dorado Intl,Bogota,,Colombia,HAV,Jose Marti Intl,Havana,,Cuba,11,2003
BOG,El Dorado Intl,Bogota,,Colombia,CUC,Camilo Daza,Cucuta,,Colombia,6,1920
BOG,El Dorado Intl,Bogota,,Colombia,YYZ,Lester B. Pearson Intl,Toronto,ON,Canada,3,1883
BOG,El Dorado Intl,Bogota,,Colombia,PPN,Guillermo L. Valencia,Popayan,,Colombia,4,1460
BOG,El Dorado Intl,Bogota,,Colombia,EWR,Newark Intl,Newark,NJ,United States,3,1435
BOG,El Dorado Intl,Bogota,,Colombia,BLB,Panama Pacifico,Balboa,,Panama,2,1432
BOG,El Dorado Intl,Bogota,,Colombia,RCH,Almirante Padilla,Riohacha,,Colombia,5,1430
BOG,El Dorado Intl,Bogota,,Colombia,GYE,Jose Joaquin de Olmedo,Guayaquil,,Ecuador,5,1350
BOG,El Dorado Intl,Bogota,,Colombia,SDQ,Las Americas International,Santo Domingo,,Dominican Republic,2,1200
BOG,El Dorado Intl,Bogota,,Colombia,FLA,Gustavo A. Paredes,Florencia,,Colombia,4,1124
BOG,El Dorado Intl,Bogota,,Colombia,CUR,Hato International,Curacao,,Curacao,4,1090
BOG,El Dorado Intl,Bogota,,Colombia,UIB,El Carano,Quibdo,,Colombia,6,1080
BOG,El Dorado Intl,Bogota,,Colombia,AUC,Santiago Perez Quiroz,Arauca,,Colombia,8,960
BOG,El Dorado Intl,Bogota,,Colombia,LPB,El Alto International,La Paz,,Bolivia,2,960
BOG,El Dorado Intl,Bogota,,Colombia,IAD,Dulles International,Washington-Dulles,VA,United States,2,960
BOG,El Dorado Intl,Bogota,,Colombia,CUN,Cancun International,Cancun,,Mexico,2,824
BOG,El Dorado Intl,Bogota,,Colombia,AUA,Reina Beatrix,Aruba,,Aruba,4,672
BOG,El Dorado Intl,Bogota,,Colombia,PUU,Tres de Mayo,Puerto Asis,,Colombia,5,648
BOG,El Dorado Intl,Bogota,,Colombia,PCR,German Olano,Puerto Carreno,,Colombia,4,380
BOG,El Dorado Intl,Bogota,,Colombia,GUA,La Aurora International,Guatemala City,,Guatemala,2,340
BOG,El Dorado Intl,Bogota,,Colombia,DFW,Dallas/Ft Worth Intl,Dallas/Fort Worth,TX,United States,2,274
BOG,El Dorado Intl,Bogota,,Colombia,TCO,La Florida,Tumaco,,Colombia,2,272
BOG,El Dorado Intl,Bogota,,Colombia,MAD,Adolfo Suarez-Barajas,Madrid,,Spain,1,250
BOG,El Dorado Intl,Bogota,,Colombia,PDA,Obando,Puerto Inirida,,Colombia,3,228
BOG,El Dorado Intl,Bogota,,Colombia,CZU,Las Brujas,Corozal,,Colombia,3,222
